genome,kingdom,phylum,class,genus,species
Burkholderia_CCGE1003_uid46253,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_CCGE1003
Burkholderia_cenocepacia_AU_1054_uid58371,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_cenocepacia
Burkholderia_cenocepacia_HI2424_uid58369,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_cenocepacia
Burkholderia_cenocepacia_J2315_uid57953,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_cenocepacia
Burkholderia_cenocepacia_MC0_3_uid58769,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_cenocepacia
Burkholderia_gladioli_BSR3_uid66301,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_gladioli
Burkholderia_glumae_BGR1_uid59397,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_glumae
Burkholderia_mallei_ATCC_23344_uid57725,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_mallei
Burkholderia_mallei_NCTC_10229_uid58383,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_mallei
Burkholderia_mallei_NCTC_10247_uid58385,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_mallei
Burkholderia_mallei_SAVP1_uid58387,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_mallei
Burkholderia_multivorans_ATCC_17616_uid58697,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_multivorans
Burkholderia_multivorans_ATCC_17616_uid58909,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_multivorans
Burkholderia_phymatum_STM815_uid58699,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_phymatum
Burkholderia_phytofirmans_PsJN_uid58729,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_phytofirmans
Burkholderia_pseudomallei_1106a_uid58515,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_pseudomallei
Burkholderia_pseudomallei_1710b_uid58391,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_pseudomallei
Burkholderia_pseudomallei_668_uid58389,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_pseudomallei
Burkholderia_pseudomallei_K96243_uid57733,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_pseudomallei
Burkholderia_pseudomallei_MSHR346_uid29855,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_pseudomallei
Burkholderia_rhizoxinica_HKI_454_uid60487,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_rhizoxinica
Burkholderia_thailandensis_E264_uid58081,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_thailandensis
Burkholderia_vietnamiensis_G4_uid58075,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_vietnamiensis
Burkholderia_xenovorans_LB400_uid57823,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderia,Burkholderia_xenovorans
Butyrivibrio_proteoclasticus_B316_uid51489,Bacteria,Firmicutes,Clostridia,Butyrivibrio,Butyrivibrio_proteoclasticus
Caldicellulosiruptor_bescii_DSM_6725_uid59201,Bacteria,Firmicutes,Clostridia,Caldicellulosiruptor,Caldicellulosiruptor_bescii
Caldicellulosiruptor_hydrothermalis_108_uid60157,Bacteria,Firmicutes,Clostridia,Caldicellulosiruptor,Caldicellulosiruptor_hydrothermalis
Caldicellulosiruptor_kristjanssonii_177R1B_uid60393,Bacteria,Firmicutes,Clostridia,Caldicellulosiruptor,Caldicellulosiruptor_kristjanssonii
Caldicellulosiruptor_kronotskyensis_2002_uid60491,Bacteria,Firmicutes,Clostridia,Caldicellulosiruptor,Caldicellulosiruptor_kronotskyensis
Caldicellulosiruptor_lactoaceticus_6A_uid60575,Bacteria,Firmicutes,Clostridia,Caldicellulosiruptor,Caldicellulosiruptor_lactoaceticus
Caldicellulosiruptor_obsidiansis_OB47_uid51501,Bacteria,Firmicutes,Clostridia,Caldicellulosiruptor,Caldicellulosiruptor_obsidiansis
Caldicellulosiruptor_owensensis_OL_uid60165,Bacteria,Firmicutes,Clostridia,Caldicellulosiruptor,Caldicellulosiruptor_owensensis
Caldicellulosiruptor_saccharolyticus_DSM_8903_uid58289,Bacteria,Firmicutes,Clostridia,Caldicellulosiruptor,Caldicellulosiruptor_saccharolyticus
Calditerrivibrio_nitroreducens_DSM_19672_uid60821,Bacteria,Deferribacteres,Deferribacteres,Calditerrivibrio,Calditerrivibrio_nitroreducens
Caldivirga_maquilingensis_IC_167_uid58711,Archaea,Crenarchaeota,Thermoprotei,Caldivirga,Caldivirga_maquilingensis
Campylobacter_concisus_13826_uid58667,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacter,Campylobacter_concisus
Campylobacter_curvus_525_92_uid58669,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacter,Campylobacter_curvus
Campylobacter_fetus_82_40_uid58545,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacter,Campylobacter_fetus
Campylobacter_hominis_ATCC_BAA_381_uid58981,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacter,Campylobacter_hominis
